"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.976972817096549","0.936365718022143","0.902667084105251","0.904618851312733","0.906348198706084","0.926347717361845","0.936859640587265","0.957612664223872","0.958002633374166","0.896752767276763","0.886296227235603","0.954218726450729","0.95615429346525","0.98286769529315","1.02765019539154","1.00288272544894","0.99135528353228","1.00788681450939","1.04752190272132","0.985327374803875","1.0118620793732","0.970206156477135","0.983516503683432","0.995679527903089","1.00688985573904","0.956693128251675","0.938560006841004","0.92848807604873","0.908126629530663","0.903800064286053","","","",
"Afghanistan","AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.222441830587512","0.207886019826402","0.115096637899626","0.0957807046107617","0.0834580188158885","0.0755403281289284","0.0687278795107969","0.0617354080672809","0.0562370938573304","0.0422211732253285","0.0388998976717064","0.0373229587510194","0.0492198761767476","0.0538176199474236","0.0439257333214852","0.063577848372904","0.0693386740150825","0.0683854926443545","0.134885274826137","0.178123619355445","0.252083458083514","0.30525973791313","0.265190801995859","0.189816756865598","0.14915052813269","0.176179956928317","0.153120981174411","0.134186906541903","0.165366907058411","0.16085016113134","","","",
"Africa Western and Central","AFW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.468989454066495","0.520269140136321","0.557530228060555","0.513611626063482","0.462141577621758","0.492347419470998","0.553937361586647","0.539582630339589","0.505425317711456","0.501856686411428","0.525692660640667","0.539231229955876","0.497095966812301","0.515325940110257","0.501134470382507","0.501195080139946","0.467292958371782","0.435297898796017","0.449291273020772","0.423502002759384","0.464460289224132","0.468730846980147","0.472265989926342","0.499201619666905","0.50686765283357","0.485411627323007","0.490802832763299","0.474886986717852","0.478275315766695","0.485867717772457","","","",
"Angola","AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.554941321223965","0.545814756460851","0.544412918195889","0.710968556411242","0.839273806456099","0.914278945329703","1.07363722637633","1.08633860497369","1.0911855535391","1.10980367472167","0.988428615190061","0.941824399331657","0.895728219557975","0.924993580456604","0.929816406848284","0.81288536981647","0.821268761463203","0.811418288291683","0.888614454993061","0.939461803116573","0.975921051814989","0.983791203230819","0.94758707736118","1.03104746004915","1.09220849033245","1.12518891950045","1.02092811921599","0.80265810151987","0.766050321209311","0.779292238004638","","","",
"Albania","ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82094128113987","1.2420755542903","0.682877538582074","0.637092393704062","0.646446368801473","0.604968843560291","0.613538432206988","0.466190914978682","0.573403483425123","0.956748921923663","1.0249473377863","1.05686835352119","1.23300153064067","1.33760317092685","1.40382743094592","1.33933834016219","1.34153281468929","1.39335902791129","1.38590594690623","1.43999065420242","1.52752074221229","1.670352592511","1.50296459006875","1.53217928825751","1.66847576272782","1.60380990334651","1.55665604232953","1.79045658243711","1.78169228321755","1.69196805679788","","","",
"Andorra","AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59215217756538","7.33672475376123","7.09990747691287","6.93704780580161","6.6632370529351","6.75413170607679","7.08273185028139","7.19408799975264","7.53192403276777","7.81296169370193","7.92701635475135","7.72562665880271","7.49876497903993","7.23806946567984","7.28675600847491","7.20627364517826","6.80540008227272","6.89038992938287","7.08182236539346","6.99539619780101","7.22359093387771","6.95758640724418","6.86229281962458","6.67423318900893","6.44593066279443","6.48576924149081","6.46528811690102","6.30209786421442","6.59405703011478","6.57359548354139","","","",
"Arab World","ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79933231507342","2.74916798892684","2.91169328352075","3.05248803212422","3.1494103632045","3.1667965770065","3.20194513410389","3.280430052448","3.22392751154454","3.19400611356839","3.252753020384","3.35702018525013","3.39601181459886","3.42383710283088","3.53122635591675","3.686095872459","3.78623144353659","3.83880214930436","4.03859871015426","4.06726588294883","4.20622846189494","4.20505847082779","4.40096088523398","4.37877696657111","4.42731871824974","4.4466867431075","4.40392655394182","4.36131595050776","4.22212548022327","4.24783818688051","","","",
"United Arab Emirates","ARE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0565328755452","30.6539141189703","28.2123737909519","28.6161821881505","30.3912282569866","30.8830610504242","30.5242475420127","29.6574911720869","28.5681568434133","27.6609386152921","25.869400149542","28.1391223085648","27.2859421161338","27.2252659866687","27.5480744309461","27.2028242045712","24.8142358552458","22.4487213892802","22.3283207069713","19.6456892112297","19.1929374183764","19.3116432784989","20.264861882368","21.0778593364349","20.9105279103517","21.8958519099521","22.356562177468","21.7280732785961","19.3786679436671","20.502131158379","","","",
"Argentina","ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07385422918073","3.19929191784524","3.21521638653866","3.2404185587782","3.24493857349666","3.2304654223317","3.46290503909056","3.52141506927175","3.66164783425806","3.66969923988005","3.56799402138191","3.34195444014037","3.10056521536687","3.33495619068877","3.65607193976249","3.73662984255052","3.92391226949688","4.08279784355099","4.15221133140035","3.84831627345147","4.0998122679475","4.28094332027273","4.26422362148416","4.34212454655109","4.20905330505396","4.30185120706067","4.20180210453832","4.07139674183186","3.9756664767256","3.74054556792816","","","",
